pool,x_centre,slope_median,slope_q25,slope_q75,n_blocks_fitted
5bp_WETH_USDC,0.19,-4.205029244317201,-10.727558155383834,-1.3058060701852043,1641
5bp_WETH_USDC,0.2,-4.217359798487582,-9.962303779600148,-1.3796721854668463,1641
5bp_WETH_USDC,0.21,-4.010319639141892,-8.427567713300553,-1.3833010296114858,1641
5bp_WETH_USDC,0.22,-3.9352479699223513,-8.057633456625622,-1.4175236477301503,1641
5bp_WETH_USDC,0.23,-3.3590763181971006,-7.7174982712724045,-1.3031386880386462,1641
5bp_WETH_USDC,0.24,-3.224018283101503,-7.261777862373827,-1.1347496503155003,1641
5bp_WETH_USDC,0.25,-3.1409234541323,-7.114535677394184,-1.2328393620457827,1641
5bp_WETH_USDC,0.26,-3.0858897384290467,-6.817490766118439,-1.1397930536196417,1641
5bp_WETH_USDC,0.27,-2.9757817091388903,-7.117087848884656,-1.2410174511763663,1641
5bp_WETH_USDC,0.28,-2.8725227053839304,-7.0184533242296245,-1.3480420673863562,1641
5bp_WETH_USDC,0.29,-2.8241936540869426,-6.737273192652541,-1.3301876938204653,1641
5bp_WETH_USDC,0.3,-2.8041748159640654,-6.917897070626147,-1.323355282814843,1641
5bp_WETH_USDC,0.31,-2.857891475039209,-6.910436450559318,-1.196159490116938,1641
5bp_WETH_USDC,0.32,-2.8867466179170034,-6.591822772487199,-1.054978548823885,1641
5bp_WETH_USDC,0.33,-2.644338760317585,-6.3917115918694325,-0.9620815207585132,1640
5bp_WETH_USDC,0.34,-2.5932321307917587,-5.813968988244662,-0.7287711365828378,1641
5bp_WETH_USDC,0.35,-2.3529711772115873,-5.666581764861875,-0.2113570427198436,1641
5bp_WETH_USDC,0.36,-2.406737560817099,-5.96709524138282,0.025812987925980614,1641
5bp_WETH_USDC,0.37,-2.4732681840837136,-5.979363658168913,-0.22956003819970142,1638
5bp_WETH_USDC,0.38,-2.422165995270187,-5.744313803941756,-0.39034662235341827,1640
5bp_WETH_USDC,0.39,-2.4570838691783714,-6.637388846933801,-0.7019440115869863,1637
5bp_WETH_USDC,0.4,-2.6026174239650555,-7.1180440603943325,-0.9617536030566654,1637
5bp_WETH_USDC,0.41,-2.7807025548842765,-7.432802405786666,-1.0131131791477075,1634
5bp_WETH_USDC,0.42,-2.7806662471315553,-7.359295174431382,-0.8102764526192396,1628
5bp_WETH_USDC,0.43,-2.9570517198846606,-7.486334629306447,-1.0324080129355804,1623
5bp_WETH_USDC,0.44,-3.0284312206063344,-9.022185294770882,-1.1716408712414557,1624
5bp_WETH_USDC,0.45,-3.0089893605469094,-9.015482779219035,-1.3585323124610915,1605
5bp_WETH_USDC,0.46,-3.6082722048389284,-8.925829223924866,-1.5040633800917758,1606
5bp_WETH_USDC,0.47,-3.7927223632556086,-9.543742893604001,-1.5247340890823078,1603
5bp_WETH_USDC,0.48,-3.815801315845704,-10.112737026286714,-1.557734978392936,1605
5bp_WETH_USDC,0.49,-3.5784561789822797,-9.089318282069978,-1.6403407578475329,1608
5bp_WETH_USDC,0.5,-3.2733631257387037,-8.842202852548393,-1.5747387585219583,1598
1bp_WETH_USDC,-0.5,-0.7719724848276996,-1.4523765267885034,1.6369381208894982,1541
1bp_WETH_USDC,-0.49,-0.8859106315483831,-1.4776283253662994,0.9450131039376718,1557
1bp_WETH_USDC,-0.48,-1.1103745632240258,-1.4870141189572557,0.7667947217132224,1536
1bp_WETH_USDC,-0.47,-1.1508251804224257,-1.4877775573978154,0.8977727986601269,1540
1bp_WETH_USDC,-0.46,-1.1867694334064718,-1.489104523241972,0.8158256290030355,1531
1bp_WETH_USDC,-0.45,-1.0849496832972811,-1.4843551097798948,1.025293490032245,1505
1bp_WETH_USDC,-0.44,-1.1778786710622458,-1.4871957297678442,1.2976168222577809,1487
1bp_WETH_USDC,-0.43,-1.1662691151836324,-1.4858153487618457,1.1752958792442991,1497
1bp_WETH_USDC,-0.42,-1.1570133361981738,-1.4883354469775152,1.0992502327888676,1528
1bp_WETH_USDC,-0.41,-1.081958156810229,-1.4802084330174643,1.3810067263451935,1531
