pool,block_number,slope,beta_shape,r2
5bp_WETH_USDC,21380663,-2.5356051821499856,1.2678025910749928,0.34904478274472217
5bp_WETH_USDC,21383063,-2.570774364188445,1.2853871820942224,0.3554999050556541
5bp_WETH_USDC,21385463,-2.9911552778961545,1.4955776389480773,0.4133601576051179
5bp_WETH_USDC,21387863,-0.8181537944968436,0.4090768972484218,0.05032765249588744
5bp_WETH_USDC,21390263,-1.0822731033558446,0.5411365516779223,0.0944737886688789
5bp_WETH_USDC,21392663,-0.9207673978291564,0.4603836989145782,0.05444410348198925
5bp_WETH_USDC,21395063,-1.1035546093394504,0.5517773046697252,0.07357839952192124
5bp_WETH_USDC,21397463,-1.218157030389121,0.6090785151945605,0.08634159918120243
5bp_WETH_USDC,21399863,-1.067574117734638,0.533787058867319,0.06955808325778734
5bp_WETH_USDC,21402263,-0.7096443443238822,0.3548221721619411,0.034560960239611194
5bp_WETH_USDC,21404663,-0.5277139587313707,0.26385697936568536,0.022074968074851653
5bp_WETH_USDC,21407063,-0.3668549970120477,0.18342749850602386,0.011304414240508875
5bp_WETH_USDC,21409463,-0.9951172453353337,0.49755862266766687,0.06175665781052497
5bp_WETH_USDC,21411863,-3.2339044950669673,1.6169522475334837,0.4087873173309702
5bp_WETH_USDC,21414263,-2.9780531420809733,1.4890265710404866,0.3647069870692534
5bp_WETH_USDC,21416663,-3.3213632268974838,1.6606816134487419,0.42743653163368966
5bp_WETH_USDC,21419063,-3.101854214391453,1.5509271071957265,0.4208960629149714
5bp_WETH_USDC,21421463,-3.2365655592728606,1.6182827796364303,0.44699810050211697
5bp_WETH_USDC,21423863,-3.0587198155743587,1.5293599077871793,0.4166715724378798
5bp_WETH_USDC,21426263,-2.6665491179430756,1.3332745589715378,0.3299466871307485
5bp_WETH_USDC,21428663,-2.7694504279571683,1.3847252139785842,0.31766550721257314
5bp_WETH_USDC,21431063,-2.8107115359615835,1.4053557679807918,0.32488240465763196
5bp_WETH_USDC,21433463,-1.4959681791017574,0.7479840895508787,0.12607399556476506
5bp_WETH_USDC,21435863,-1.7601486938813016,0.8800743469406508,0.17570792576490424
5bp_WETH_USDC,21438263,-1.6167217133552887,0.8083608566776443,0.14844524482246768
5bp_WETH_USDC,21440663,-1.6343889298503849,0.8171944649251924,0.14577310152129253
5bp_WETH_USDC,21443063,-1.6986662896676026,0.8493331448338013,0.15293639200997233
5bp_WETH_USDC,21445463,-1.6291601767866848,0.8145800883933424,0.14875743274601028
5bp_WETH_USDC,21447863,-1.6156543392023819,0.8078271696011909,0.14818549231656153
5bp_WETH_USDC,21450263,-1.5851326177449228,0.7925663088724614,0.1424576617835368
5bp_WETH_USDC,21452663,-1.610621037210886,0.805310518605443,0.1455703442803431
5bp_WETH_USDC,21455063,-1.648036431393846,0.824018215696923,0.14900356969770134
5bp_WETH_USDC,21457463,-1.6474082109468262,0.8237041054734131,0.14911161096130499
5bp_WETH_USDC,21459863,-1.7592322797733688,0.8796161398866844,0.166632622359291
5bp_WETH_USDC,21462263,-1.797509555973594,0.898754777986797,0.17053875597830703
5bp_WETH_USDC,21464663,-1.7847473668913219,0.8923736834456609,0.17146095538400807
5bp_WETH_USDC,21467063,-1.886184714720654,0.943092357360327,0.19064777265213884
5bp_WETH_USDC,21469463,-1.8711001224646422,0.9355500612323211,0.190495184197654
5bp_WETH_USDC,21471863,-1.781869505609307,0.8909347528046535,0.1723049515231866
5bp_WETH_USDC,21474263,-0.04899997346714686,0.02449998673357343,0.0002387580843931092
5bp_WETH_USDC,21476663,-0.047933305636804646,0.023966652818402323,0.00022112563373266614
5bp_WETH_USDC,21479063,-0.02572890433054102,0.01286445216527051,6.670106929140829e-05
5bp_WETH_USDC,21481463,-0.08463965798860666,0.04231982899430333,0.0006906030244112626
5bp_WETH_USDC,21483863,-0.09719660832647423,0.04859830416323711,0.0009002339192443198
5bp_WETH_USDC,21486263,-0.2413160278554395,0.12065801392771976,0.005116607895868652
5bp_WETH_USDC,21488663,-0.33024618303183007,0.16512309151591503,0.009184997501466063
5bp_WETH_USDC,21491063,-0.23099471899594756,0.11549735949797378,0.004671688982466615
5bp_WETH_USDC,21493463,-0.16985553576223733,0.08492776788111867,0.002598287117372977
5bp_WETH_USDC,21495863,-0.2610682336610679,0.13053411683053395,0.005862635507005054
5bp_WETH_USDC,21498263,-0.2896682752501474,0.1448341376250737,0.007110003597037395
5bp_WETH_USDC,21500663,-0.28083453811896897,0.14041726905948448,0.006742185832118719
5bp_WETH_USDC,21503063,-0.19901798249812994,0.09950899124906497,0.0035273794111972956
5bp_WETH_USDC,21505463,-0.20950727549732653,0.10475363774866327,0.0038691089913854837
5bp_WETH_USDC,21507863,-0.18235345407889092,0.09117672703944546,0.0029853295048656303
5bp_WETH_USDC,21510263,-0.23680559439772023,0.11840279719886011,0.004794197669680811
5bp_WETH_USDC,21512663,-0.17305986255552983,0.08652993127776491,0.002654543177977864
5bp_WETH_USDC,21515063,-0.13143875566232247,0.06571937783116123,0.0015324983365053724
5bp_WETH_USDC,21517463,-1.674963488326268,0.837481744163134,0.1543668479164616
5bp_WETH_USDC,21519863,-1.6808945236079396,0.8404472618039698,0.15310995010756623
5bp_WETH_USDC,21522263,-1.6582466562266374,0.8291233281133187,0.14920591179616272
5bp_WETH_USDC,21524663,-1.6599735894374548,0.8299867947187274,0.1496223860075968
5bp_WETH_USDC,21527063,-1.6585310881395672,0.8292655440697836,0.14906897705932876
5bp_WETH_USDC,21529463,-1.6619588898100965,0.8309794449050483,0.14863824399465542
5bp_WETH_USDC,21531863,-1.658445574066719,0.8292227870333595,0.14834045442677146
5bp_WETH_USDC,21534263,-1.6460423956082724,0.8230211978041362,0.1464166762188288
5bp_WETH_USDC,21536663,-1.6383541354979811,0.8191770677489906,0.14655264938293222
5bp_WETH_USDC,21539063,-1.6324475433795376,0.8162237716897688,0.1457603617708273
5bp_WETH_USDC,21541463,-1.6366321981111012,0.8183160990555506,0.1465985088419378
