pool,w,branch,n_ticks_median,n_ticks_p5,mass_frac_median,beta_median,beta_iqr
5bp_WETH_USDC,0.1,above,95.0,66.0,0.30820581964685767,1.3936120767096085,3.52827822356897
5bp_WETH_USDC,0.1,below,95.0,74.0,0.10688557611241108,-2.32816667624036,4.533665781080511
5bp_WETH_USDC,0.15,above,141.0,98.0,0.4408377926018353,1.6187396320462177,3.861122188963553
5bp_WETH_USDC,0.15,below,142.0,117.0,0.15702049569957968,-2.2614011416872843,3.4479299913247727
5bp_WETH_USDC,0.22,above,205.0,132.0,0.568849653186017,2.2915194502784155,3.750255311174364
5bp_WETH_USDC,0.22,below,205.0,176.0,0.26101235287028784,-2.1119462590964284,3.306641701280331
5bp_WETH_USDC,0.35,above,310.0,167.0,0.7243438935561288,2.8327277613108306,2.657078158995416
5bp_WETH_USDC,0.35,below,321.0,269.0,0.40384397037947023,-1.287758977337445,4.119669816825719
5bp_WETH_USDC,0.5,above,400.0,184.0,0.8809109417793389,2.5514559126649776,2.035614870807841
5bp_WETH_USDC,0.5,below,455.0,347.0,0.6968558524990636,-0.8741520887156811,2.625823738640832
5bp_WETH_USDT,0.02,above,8.0,5.0,0.06427966412118842,0.6692808719397161,1.4875480418306712
5bp_WETH_USDT,0.02,below,9.0,5.0,0.0792836363290487,0.11109447428095712,2.812491872052375
5bp_WETH_USDT,0.05,above,20.0,12.0,0.15616003434179598,0.7453007020524963,2.4746066152175645
5bp_WETH_USDT,0.05,below,21.0,13.0,0.18242808372529623,-0.7266647647098272,3.7058215035809066
5bp_WETH_USDT,0.1,above,40.0,25.0,0.29581861174646,1.2559116700744493,3.2038922457325434
5bp_WETH_USDT,0.1,below,42.0,27.0,0.32264605711265826,-1.6335181912232704,5.622038105004599
5bp_WETH_USDT,0.15,above,60.0,40.0,0.4231243887857734,1.871803747891411,3.5170169045578845
5bp_WETH_USDT,0.15,below,62.0,40.0,0.41547461462088386,-2.5874885298863726,4.967114007564612
5bp_WETH_USDT,0.22,above,85.0,50.0,0.5626677130801864,2.446926807197537,2.9179794136931374
5bp_WETH_USDT,0.22,below,87.0,53.0,0.4994993941883967,-2.7630417984187274,3.6305723450321614
5bp_WETH_USDT,0.35,above,132.0,60.0,0.7731605801299816,2.466363877182643,2.361097395535758
5bp_WETH_USDT,0.35,below,129.0,68.0,0.6390367514667544,-2.2662269437091234,2.0207873308082256
5bp_WETH_USDT,0.5,above,173.0,64.0,0.9056301290955572,2.1551530751680024,2.3040819635780423
5bp_WETH_USDT,0.5,below,171.0,89.0,0.7399637010361692,-1.5422489397859662,1.538719623401045
